"پاسخنامه","شناسه پاسخ دهنده","در یک سال گذشته، چند بار از آنلاین‌شاپ‌ها خرید کردی؟","آنلاین‌شاپ‌ها رو از کجا پیدا میکنید؟","از کجا به صورت آنلاین خرید میکنید؟","آخرین باری که از یک آنلاین‌شاپ خرید کردی و «راضی نبودی» یا «حس کردی کلاهبرداری بوده»، کی بوده؟","بزرگ‌ترین مشکلی که تا حالا در خرید از آنلاین‌شاپ تجربه کردی چی بوده؟","قبل از اینکه به حساب یک آنلاین‌شاپ پول واریز کنی، چقدر به نظرات کاربران اهمیت می‌دهید چطوری مطمئن می‌شی که قابل اعتماده و کلاهبردار نیست؟","نظرات کاربران رو کجا بررسی میکنید؟","بعد از اینکه یک تجربه خرید بد (تأخیر، کیفیت بد یا کلاهبرداری) داشتی، چیکار کردی؟","اگر پلتفرمی (مثل تریپ‌ادوایزر یا ترب، اما مخصوص آنلاین‌شاپ‌ها) وجود داشته باشه که بتونی قبل از خرید، نظرات و امتیازهای واقعی بقیه خریدارها رو درباره اون شاپ ببینی، چقدر ازش استفاده می‌کنی؟ (طیف خطی یا ستاره‌ای از ۱ تا ۵","بزرگ‌ترین مشکل خرید آنلاین در ایران از نظر شما چیست؟ (پاسخ تشریحی)","تاریخ شروع","تاریخ اتمام"
"https://survey.porsline.ir/n/k/IWDLI6S2/hBgnu?review_token=07a7fe6e-5ed8-44f6-90b9-bcbfa1428ff9","hBgnu","۴ تا ۱۰ بار","اینستاگرام","سایت","۶ ماه تا یک سال پیش","کیفیت پایین محصول نسبت به عکس و ویدیوها","چک می‌کنم که آیا سایت یا نماد اعتماد (ای‌نماد) دارن یا نه","اینستاگرام","هیچ کاری نکردم، چون حوصله دردسر و پیگیری نداشتم","۵ (همیشه قبل از هر خریدی چک می‌کنم)","نبود ساز و کاری که بشه آنلاین شاپ های کلاهبردار رو از آنلاین شاپ های خوب و درجه یک تشخیص داد. و البته اگر کلاهبردار باشه و همه متضرر ها از وجود هم خبر داشته باشن خیلی راحت تر میشه پیگیری قضایی کرد.","1405/03/04-09:07:04","1405/03/04-09:11:18"
"https://survey.porsline.ir/n/k/IWDLI6S2/pV7xe?review_token=7ced7c74-2633-4516-bc4e-c44498f67d99","pV7xe","۴ تا ۱۰ بار","اینستاگرام","سایت","یادم نمیاد / تا حالا برام پیش نیومده","تأخیر خیلی زیاد در ارسال سفارش","کامنت‌های پست‌هاشون رو می‌خونم","سایت فروشگاه","هیچ کاری نکردم، چون حوصله دردسر و پیگیری نداشتم","۵ (همیشه قبل از هر خریدی چک می‌کنم)","به نظرم اعتماد به فروشنده باید خیلی بهتر و شفاف‌تر انجام بشه تا مشکلات بعدی هم پیش نیاد. در حال حاضر بسیاری از راه‌های متعارف اعتمادسازی مثل کامنت‌ها، رضایت مشتری یا تعداد فالوور، خیلی قابل اعتماد نیستند.","1405/03/04-08:50:17","1405/03/04-08:55:49"
"https://survey.porsline.ir/n/k/IWDLI6S2/5HvS9?review_token=1eba448a-0e7b-4b95-add7-3c2174afd727","5HvS9","بیشتر از ۱۰ بار (مشتری دائمی)","اینستاگرام","اینستاگرام","کمتر از یک ماه پیش","تا حالا مشکلی نداشتم","هایلایت‌های رضایت مشتری رو چک می‌کنم","اینستاگرام","توی صفحه خودم (اینستاگرام/توییتر) تجربه‌ام رو نوشتم تا بقیه بفهمن","۱ (اصلاً برام مهم نیست)","","1405/03/03-23:14:51","1405/03/03-23:16:39"
"https://survey.porsline.ir/n/k/IWDLI6S2/V1KL7?review_token=a64f6a8a-65f7-4676-8c23-797c56385192","V1KL7","اصلاً خرید نکردم","اینستاگرام","اینستاگرام","کمتر از یک ماه پیش","تأخیر خیلی زیاد در ارسال سفارش","کامنت‌های پست‌هاشون رو می‌خونم","اینستاگرام","هیچ کاری نکردم، چون حوصله دردسر و پیگیری نداشتم","۴","عدم اعتماد کامل ","1405/03/03-22:27:09","1405/03/03-22:28:04"
"https://survey.porsline.ir/n/k/IWDLI6S2/wNPUM?review_token=f5d13dc7-9bb2-47e9-954c-36a4d178776d","wNPUM","بیشتر از ۱۰ بار (مشتری دائمی)","اینستاگرام","اینستاگرام","۶ ماه تا یک سال پیش","کیفیت پایین محصول نسبت به عکس و ویدیوها","کامنت‌های پست‌هاشون رو می‌خونم","اینستاگرام","هیچ کاری نکردم، چون حوصله دردسر و پیگیری نداشتم","۱ (اصلاً برام مهم نیست)","تاخیر در ارسال سفارش
عدم تطابق عکس با خود سفارش در برخی موارد نه همیشه","1405/03/03-18:49:27","1405/03/03-18:51:48"
"https://survey.porsline.ir/n/k/IWDLI6S2/0b2le?review_token=6bad58e5-11e4-4af7-874b-27fdb6d8a052","0b2le","بیشتر از ۱۰ بار (مشتری دائمی)","اینستاگرام","سایت","کمتر از یک ماه پیش","تا حالا مشکلی نداشتم","چک می‌کنم که آیا سایت یا نماد اعتماد (ای‌نماد) دارن یا نه","سایت فروشگاه","هیچ کاری نکردم، چون حوصله دردسر و پیگیری نداشتم","۵ (همیشه قبل از هر خریدی چک می‌کنم)","دیر ارسال کردن","1405/03/03-18:47:30","1405/03/03-18:49:17"
"https://survey.porsline.ir/n/k/IWDLI6S2/Ov2kt?review_token=7c3d3a01-6c02-4989-a090-938d65904a0b","Ov2kt","۴ تا ۱۰ بار","اینستاگرام","سایت","یادم نمیاد / تا حالا برام پیش نیومده","تا حالا مشکلی نداشتم","چک می‌کنم که آیا سایت یا نماد اعتماد (ای‌نماد) دارن یا نه","اینستاگرام","توی صفحه خودم (اینستاگرام/توییتر) تجربه‌ام رو نوشتم تا بقیه بفهمن","۵ (همیشه قبل از هر خریدی چک می‌کنم)","هزینه پست زیاد","1405/03/03-18:24:11","1405/03/03-18:26:31"
"https://survey.porsline.ir/n/k/IWDLI6S2/WYZHz?review_token=eb276c19-4fa0-478a-bcf8-ded221cbf0bf","WYZHz","بیشتر از ۱۰ بار (مشتری دائمی)","سایت","سایت","یادم نمیاد / تا حالا برام پیش نیومده","تأخیر خیلی زیاد در ارسال سفارش","هایلایت‌های رضایت مشتری رو چک می‌کنم","سایت فروشگاه","توی صفحه خودم (اینستاگرام/توییتر) تجربه‌ام رو نوشتم تا بقیه بفهمن","۵ (همیشه قبل از هر خریدی چک می‌کنم)","","1405/03/03-17:53:34","1405/03/03-17:55:20"
"https://survey.porsline.ir/n/k/IWDLI6S2/Crd2J?review_token=e3dd9076-4b51-4c6b-8c49-ce593a91dd49","Crd2J","۱ تا ۳ بار","اینستاگرام","سایت","۶ ماه تا یک سال پیش","کیفیت پایین محصول نسبت به عکس و ویدیوها","کامنت‌های پست‌هاشون رو می‌خونم","سایت فروشگاه","هیچ کاری نکردم، چون حوصله دردسر و پیگیری نداشتم","۳","","1405/03/03-16:11:44","1405/03/03-16:13:45"
"https://survey.porsline.ir/n/k/IWDLI6S2/WNzk8?review_token=1d1e6aae-10b5-4068-9fa1-ab085bd08461","WNzk8","بیشتر از ۱۰ بار (مشتری دائمی)","سایت","سایت","یادم نمیاد / تا حالا برام پیش نیومده","تا حالا مشکلی نداشتم","از دوست و آشنا پرس‌وجو می‌کنم","سایت فروشگاه","هیچ کاری نکردم، چون حوصله دردسر و پیگیری نداشتم","۵ (همیشه قبل از هر خریدی چک می‌کنم)","تاخیر در ارسال","1405/03/03-15:11:08","1405/03/03-15:13:31"
"https://survey.porsline.ir/n/k/IWDLI6S2/be02k?review_token=e228d612-f2f2-480f-8bc1-e77b982038e7","be02k","بیشتر از ۱۰ بار (مشتری دائمی)","اینستاگرام","سایت","یادم نمیاد / تا حالا برام پیش نیومده","تأخیر خیلی زیاد در ارسال سفارش","چک می‌کنم که آیا سایت یا نماد اعتماد (ای‌نماد) دارن یا نه","سایت فروشگاه","هیچ کاری نکردم، چون حوصله دردسر و پیگیری نداشتم","۵ (همیشه قبل از هر خریدی چک می‌کنم)","تاخیر در ارسال","1405/03/03-15:00:48","1405/03/03-15:02:42"
"https://survey.porsline.ir/n/k/IWDLI6S2/rQmkx?review_token=ee4206e3-4a97-469c-9395-4af2de3d29db","rQmkx","۴ تا ۱۰ بار","اینستاگرام","اینستاگرام","کمتر از یک ماه پیش","کیفیت پایین محصول نسبت به عکس و ویدیوها","هایلایت‌های رضایت مشتری رو چک می‌کنم","اینستاگرام","زیر پست‌هاشون کامنت اعتراضی گذاشتم","۵ (همیشه قبل از هر خریدی چک می‌کنم)","گرون بودن","1405/03/03-02:11:54","1405/03/03-02:14:18"
"https://survey.porsline.ir/n/k/IWDLI6S2/jgNgA?review_token=a8e599d2-c748-4bf3-94c8-64c35be6c3c2","jgNgA","۱ تا ۳ بار","سایت","سایت","یادم نمیاد / تا حالا برام پیش نیومده","پاسخ ندادن به دایرکت و پشتیبانی ضعیف بعد از واریز پول","هایلایت‌های رضایت مشتری رو چک می‌کنم","سایت فروشگاه","هیچ کاری نکردم، چون حوصله دردسر و پیگیری نداشتم","۵ (همیشه قبل از هر خریدی چک می‌کنم)","بزرگترین مشکل نبود رقیب جدی برای دیجیکالا هست که عموما به خاطر نبود اعتماد شکل گرفته ","1405/03/02-23:50:38","1405/03/02-23:53:36"
"https://survey.porsline.ir/n/k/IWDLI6S2/Tgo5J?review_token=e19c239a-c058-4109-969b-11428d5098f1","Tgo5J","۴ تا ۱۰ بار","غیره","سایت","۶ ماه تا یک سال پیش","پاسخ ندادن به دایرکت و پشتیبانی ضعیف بعد از واریز پول","چک می‌کنم که آیا سایت یا نماد اعتماد (ای‌نماد) دارن یا نه","اینستاگرام","به پلیس فتا یا مراجع قانونی شکایت کردم","۵ (همیشه قبل از هر خریدی چک می‌کنم)","نبود فروشگاه مطمئن به تعداد کافی ","1405/03/02-23:24:59","1405/03/02-23:26:52"
"https://survey.porsline.ir/n/k/IWDLI6S2/zDPer?review_token=ef304067-810a-4dc7-a0d8-41e252f5926d","zDPer","بیشتر از ۱۰ بار (مشتری دائمی)","اینستاگرام","سایت","یادم نمیاد / تا حالا برام پیش نیومده","تأخیر خیلی زیاد در ارسال سفارش","هایلایت‌های رضایت مشتری رو چک می‌کنم","اینستاگرام","توی صفحه خودم (اینستاگرام/توییتر) تجربه‌ام رو نوشتم تا بقیه بفهمن","۵ (همیشه قبل از هر خریدی چک می‌کنم)","نمیشه اگر یک درصد کلاه بردار بود طرف پولو پس گرفت","1405/03/02-23:11:20","1405/03/02-23:14:44"
